day,time,snsr_11,snsr_12,snsr_21,snsr_22
0,00:03:31.02,-1.49,4.37,-4.14,2.64
0,00:03:31.04,-205.76,8.97,52.3,-3.56
0,00:03:31.06,-28.05,-166.56,74.49,-44.14
0,00:03:31.08,87.36,-18.85,54.95,71.96
0,00:03:31.10,-94.83,3.91,49.89,8.85
0,00:03:31.12,86.9,-6.78,16.67,-98.05
0,00:03:31.14,-23.56,-22.53,-10.81,182.54
0,00:03:31.17,15.29,49.54,7.7,30.81
0,00:03:31.19,-9.43,40.92,11.04,35.06
0,00:03:31.21,28.74,-3.68,11.84,-2.41
0,00:03:31.23,0.92,-8.62,-4.6,-4.37
0,00:03:31.25,-1.72,-7.47,-1.95,-2.87
0,00:03:31.27,-2.76,2.99,-0.11,0.34
0,00:03:31.29,1.49,-1.26,-4.94,0.11
0,00:03:31.31,2.64,-1.38,-6.55,-1.15
0,00:03:31.33,0.69,-1.61,0,3.1
0,00:03:31.35,1.95,1.38,1.84,4.48
0,00:03:31.38,-0.11,1.95,1.61,-1.49
0,00:03:31.40,-1.72,2.99,0.57,-1.38
0,00:03:31.42,-4.02,1.72,0.46,-0.34
0,00:03:31.44,-1.38,1.95,2.76,-3.56
0,00:03:31.46,1.26,2.07,1.84,-3.33
0,00:03:31.48,2.87,3.45,1.84,1.72
0,00:03:31.50,-0.46,2.18,3.91,2.07
0,00:03:31.52,-0.34,2.53,6.32,10.12
0,00:03:31.54,-0.23,10.81,4.02,-16.09
0,00:03:31.57,19.77,-16.55,1.03,0
0,00:03:31.58,4.83,-11.38,-8.74,4.48
0,00:03:31.60,-61.84,-8.39,6.67,8.74
0,00:03:31.62,3.79,2.3,4.37,-0.11
0,00:03:31.65,2.41,3.68,2.07,-3.91
0,00:03:31.67,-0.46,2.18,-9.31,-1.95
0,00:03:31.69,0.46,0.46,1.26,0
0,00:03:31.71,0.57,-0.8,2.53,0.13
0,00:03:31.73,-0.92,0.92,1.95,0
0,00:03:31.75,-2.41,4.02,0.92,0.46
0,00:03:31.77,2.76,2.76,0.57,0.8
0,00:03:31.79,1.95,1.38,-0.57,0.8
0,00:03:31.81,1.15,-1.72,1.15,-3.33
0,00:03:31.83,2.07,8.39,-1.26,4.83
0,00:03:31.85,1.72,2.18,1.72,3.79
0,00:03:31.88,0.69,4.14,1.84,2.53
0,00:03:31.90,-0.69,3.68,3.1,1.38
0,00:03:31.92,0.34,4.14,1.61,1.03
0,00:03:31.94,0.23,2.3,2.87,1.84
0,00:03:31.96,2.3,2.64,1.03,2.07
0,00:03:31.98,4.94,2.3,2.64,0.57
0,00:03:32.00,1.84,3.22,-0.23,-3.79
0,00:03:32.02,1.26,1.49,0.69,-0.92
0,00:03:32.04,0.34,1.84,0.92,3.22
0,00:03:32.06,0.8,2.76,1.03,1.15
0,00:03:32.09,-0.23,1.61,0.69,0.69
0,00:03:32.11,0.69,1.72,-0.57,-0.11
0,00:03:32.13,1.03,3.1,-0.23,-0.34
0,00:03:32.15,1.61,3.68,2.53,-0.34
0,00:03:32.17,0.92,3.1,3.79,-1.38
0,00:03:32.19,1.95,2.64,1.84,0
0,00:03:32.21,2.07,2.76,1.03,-0.34
0,00:03:32.23,0.92,1.84,1.95,-0.46
0,00:03:32.25,0.57,1.38,1.49,0.34
0,00:03:32.28,0.23,2.07,1.49,2.76
0,00:03:32.30,0.34,1.84,1.72,2.41
0,00:03:32.32,0.34,2.53,0.57,2.18
0,00:03:32.34,0.57,1.84,0.34,0.8
0,00:03:32.36,0.57,1.84,2.18,-0.46
0,00:03:32.38,-0.23,1.95,1.15,0.8
0,00:03:32.40,0.23,2.87,-1.03,3.68
0,00:03:32.42,0.69,2.3,0,7.36
0,00:03:32.44,1.26,2.76,2.53,2.3
0,00:03:32.47,1.26,3.79,1.84,0.34
0,00:03:32.49,1.03,2.64,2.07,0
0,00:03:32.51,0.92,1.38,2.53,-0.92
0,00:03:32.53,0.46,2.07,1.03,0.34
